observation_id,as_of_utc,label_date,dataset_partition,source_id,is_synthetic_source,instrument_id,horizon,score,predicted_direction,actual_direction,hit,bias_up_hits,bias_down_hits,matched_symbols
bc97fcb8-aab5-4e4b-862b-caf7a9186bd1,2021-05-05T06:00:00Z,2021-05-06,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
bbb2de5c-9dfa-4a87-9b23-46357545aeb9,2021-05-06T06:00:00Z,2021-05-07,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
a5df1fd3-2258-4cae-9e6a-bea1899e2cf4,2021-05-09T06:00:00Z,2021-05-10,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
e5100be1-f90a-496e-9639-06bb2930b72d,2021-05-10T06:00:00Z,2021-05-11,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
4640735a-1e5e-4132-9620-8fda9b9b71b7,2021-05-11T06:00:00Z,2021-05-12,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
23106586-1897-48d6-b58a-d2cce09b0540,2021-05-12T06:00:00Z,2021-05-13,calibration,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
365ed2e1-51b6-4d11-8515-84b8628c139f,2021-05-13T06:00:00Z,2021-05-14,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
45b57db2-b0e3-4cf8-ae9d-3be5d8931bd4,2021-05-16T06:00:00Z,2021-05-17,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
e0928c8f-b906-4b4c-8308-03f0fc72a0f0,2021-05-17T06:00:00Z,2021-05-18,locked_eval,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
3539ca49-f80e-47fa-b8f6-625beb7add2b,2021-05-19T06:00:00Z,2021-05-20,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
4fa0875d-7afd-4584-8820-b58ba19bfc3e,2021-05-20T06:00:00Z,2021-05-21,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
e594878d-d7ce-4161-afd8-d0019d7a5c41,2021-05-23T06:00:00Z,2021-05-24,calibration,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
4888ca58-4375-497c-8b48-a8e87c8972bf,2021-05-24T06:00:00Z,2021-05-25,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
dd097fc9-fa0d-4cd6-b05f-bd4b53256c15,2021-05-25T06:00:00Z,2021-05-26,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
ea8749d2-2d65-4b72-ac0e-a7d5971895a1,2021-05-26T06:00:00Z,2021-05-27,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
69b95711-cfa0-4517-bce9-adba1fbfc4ce,2021-05-27T06:00:00Z,2021-05-28,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
efd78f72-fcf7-44f4-bbe6-11f2815391b5,2021-05-30T06:00:00Z,2021-05-31,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
76c2caf6-4f00-48b4-af96-300f56fdeda0,2021-05-31T06:00:00Z,2021-06-01,locked_eval,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
9bcca17d-458c-45b5-8849-05248a8ed93b,2021-06-02T06:00:00Z,2021-06-03,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
733c185a-7db3-4c42-b2ee-93cde6cfd4cf,2021-06-03T06:00:00Z,2021-06-04,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
80ea3f4c-252b-4c33-bdae-807c30edb9fe,2021-06-06T06:00:00Z,2021-06-07,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
3445e736-babb-478a-8f1c-02f3ee9e27f3,2021-06-07T06:00:00Z,2021-06-08,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
6f73cf9a-d746-41e9-8dd9-b27d17cb9a1f,2021-06-08T06:00:00Z,2021-06-09,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
96751d5f-457d-4d5a-aba7-716af1e79822,2021-06-09T06:00:00Z,2021-06-10,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
7134c3ea-a7ed-41e1-9e0c-b8c351cc45c3,2021-06-10T06:00:00Z,2021-06-11,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
d02a924f-daef-4f02-959e-c026d9dc5b5f,2021-06-13T06:00:00Z,2021-06-14,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
5100382c-3854-46a9-8787-951782d728bf,2021-06-14T06:00:00Z,2021-06-15,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
048d5a15-7230-437b-97c5-8e150e6efca6,2021-06-15T06:00:00Z,2021-06-16,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
d8191249-dce8-4823-84af-b9ce4aca8dce,2021-06-16T06:00:00Z,2021-06-17,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
1db39c8a-456e-4702-b191-be373c1046d5,2021-06-17T06:00:00Z,2021-06-18,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
da7c7c0f-5e98-4942-bbd1-ea141401e569,2021-06-20T06:00:00Z,2021-06-21,train_holdout,label_guided_seed,True,KOSPI,1d,-0.81,down,down,1,0,1,babel_confusion
a335ee5f-e9f6-4af6-a6f1-88f9a354a42c,2021-06-21T06:00:00Z,2021-06-22,train_holdout,label_guided_seed,True,KOSPI,1d,1.224,up,up,1,2,0,"exodus_liberation,jubilee_relief"
