blind_label,question_id,false_claim,unsupported_claim,ceiling_violation,citation_error,authority_overreach,appropriate_abstention,useful_answer,gold_alignment,notes,rater_id
Response_001,HGQ-HT5-010,,,,,,,,,,rater1
Response_002,HGQ-HT5-011,,,,,,,,,,rater1
Response_003,HGQ-HT4-001,,,,,,,,,,rater1
Response_004,HGQ-HT6-001,,,,,,,,,,rater1
Response_005,HGQ-HT5-003,,,,,,,,,,rater1
Response_006,HGQ-HT3-007,,,,,,,,,,rater1
Response_007,HGQ-HT2-010,,,,,,,,,,rater1
Response_008,HGQ-HT7-009,,,,,,,,,,rater1
Response_009,HGQ-HT7-012,,,,,,,,,,rater1
Response_010,HGQ-HT6-003,,,,,,,,,,rater1
Response_011,HGQ-HT4-004,,,,,,,,,,rater1
Response_012,HGQ-HT3-003,,,,,,,,,,rater1
Response_013,HGQ-HT1-011,,,,,,,,,,rater1
Response_014,HGQ-HT6-009,,,,,,,,,,rater1
Response_015,HGQ-UTIL-002,,,,,,,,,,rater1
Response_016,HGQ-HT1-012,,,,,,,,,,rater1
Response_017,HGQ-HT5-010,,,,,,,,,,rater1
Response_018,HGQ-HT6-010,,,,,,,,,,rater1
Response_019,HGQ-HT5-001,,,,,,,,,,rater1
Response_020,HGQ-HT3-009,,,,,,,,,,rater1
Response_021,HGQ-HT1-002,,,,,,,,,,rater1
Response_022,HGQ-HT5-007,,,,,,,,,,rater1
Response_023,HGQ-HT1-011,,,,,,,,,,rater1
Response_024,HGQ-HT3-006,,,,,,,,,,rater1
Response_025,HGQ-HT3-009,,,,,,,,,,rater1
Response_026,HGQ-HT5-009,,,,,,,,,,rater1
Response_027,HGQ-UTIL-001,,,,,,,,,,rater1
Response_028,HGQ-HT5-004,,,,,,,,,,rater1
Response_029,HGQ-HT2-012,,,,,,,,,,rater1
Response_030,HGQ-HT2-006,,,,,,,,,,rater1
Response_031,HGQ-HT2-007,,,,,,,,,,rater1
Response_032,HGQ-HT5-003,,,,,,,,,,rater1
Response_033,HGQ-HT5-008,,,,,,,,,,rater1
Response_034,HGQ-HT6-006,,,,,,,,,,rater1
Response_035,HGQ-HT6-012,,,,,,,,,,rater1
Response_036,HGQ-HT3-001,,,,,,,,,,rater1
Response_037,HGQ-HT5-007,,,,,,,,,,rater1
Response_038,HGQ-HT7-003,,,,,,,,,,rater1
Response_039,HGQ-HT7-002,,,,,,,,,,rater1
Response_040,HGQ-HT2-004,,,,,,,,,,rater1
Response_041,HGQ-HT3-004,,,,,,,,,,rater1
Response_042,HGQ-HT4-012,,,,,,,,,,rater1
Response_043,HGQ-HT7-002,,,,,,,,,,rater1
Response_044,HGQ-HT4-003,,,,,,,,,,rater1
Response_045,HGQ-HT7-004,,,,,,,,,,rater1
Response_046,HGQ-HT2-002,,,,,,,,,,rater1
Response_047,HGQ-HT6-009,,,,,,,,,,rater1
Response_048,HGQ-HT5-005,,,,,,,,,,rater1
Response_049,HGQ-HT4-005,,,,,,,,,,rater1
Response_050,HGQ-HT3-011,,,,,,,,,,rater1
Response_051,HGQ-HT2-003,,,,,,,,,,rater1
Response_052,HGQ-HT4-007,,,,,,,,,,rater1
Response_053,HGQ-HT3-008,,,,,,,,,,rater1
Response_054,HGQ-HT7-009,,,,,,,,,,rater1
Response_055,HGQ-HT1-001,,,,,,,,,,rater1
Response_056,HGQ-HT2-010,,,,,,,,,,rater1
Response_057,HGQ-HT2-011,,,,,,,,,,rater1
Response_058,HGQ-HT1-003,,,,,,,,,,rater1
Response_059,HGQ-UTIL-002,,,,,,,,,,rater1
Response_060,HGQ-HT5-012,,,,,,,,,,rater1
Response_061,HGQ-HT6-008,,,,,,,,,,rater1
Response_062,HGQ-HT3-001,,,,,,,,,,rater1
Response_063,HGQ-HT2-011,,,,,,,,,,rater1
Response_064,HGQ-HT7-001,,,,,,,,,,rater1
Response_065,HGQ-HT6-007,,,,,,,,,,rater1
Response_066,HGQ-HT6-001,,,,,,,,,,rater1
Response_067,HGQ-HT2-007,,,,,,,,,,rater1
Response_068,HGQ-HT4-011,,,,,,,,,,rater1
Response_069,HGQ-HT2-008,,,,,,,,,,rater1
Response_070,HGQ-HT1-006,,,,,,,,,,rater1
Response_071,HGQ-HT5-011,,,,,,,,,,rater1
Response_072,HGQ-HT2-003,,,,,,,,,,rater1
Response_073,HGQ-HT7-011,,,,,,,,,,rater1
Response_074,HGQ-HT6-004,,,,,,,,,,rater1
Response_075,HGQ-HT7-001,,,,,,,,,,rater1
Response_076,HGQ-HT3-007,,,,,,,,,,rater1
Response_077,HGQ-HT1-005,,,,,,,,,,rater1
Response_078,HGQ-HT6-011,,,,,,,,,,rater1
Response_079,HGQ-HT1-005,,,,,,,,,,rater1
Response_080,HGQ-HT7-003,,,,,,,,,,rater1
Response_081,HGQ-HT1-004,,,,,,,,,,rater1
Response_082,HGQ-HT7-010,,,,,,,,,,rater1
Response_083,HGQ-HT7-006,,,,,,,,,,rater1
Response_084,HGQ-HT3-002,,,,,,,,,,rater1
Response_085,HGQ-HT2-012,,,,,,,,,,rater1
Response_086,HGQ-HT4-008,,,,,,,,,,rater1
Response_087,HGQ-HT3-005,,,,,,,,,,rater1
Response_088,HGQ-HT1-007,,,,,,,,,,rater1
Response_089,HGQ-HT6-010,,,,,,,,,,rater1
Response_090,HGQ-HT1-004,,,,,,,,,,rater1
Response_091,HGQ-HT1-012,,,,,,,,,,rater1
Response_092,HGQ-HT3-002,,,,,,,,,,rater1
Response_093,HGQ-HT6-004,,,,,,,,,,rater1
Response_094,HGQ-HT3-006,,,,,,,,,,rater1
Response_095,HGQ-HT5-009,,,,,,,,,,rater1
Response_096,HGQ-HT2-005,,,,,,,,,,rater1
Response_097,HGQ-HT6-008,,,,,,,,,,rater1
Response_098,HGQ-HT4-007,,,,,,,,,,rater1
Response_099,HGQ-HT3-008,,,,,,,,,,rater1
Response_100,HGQ-HT3-011,,,,,,,,,,rater1
Response_101,HGQ-HT4-002,,,,,,,,,,rater1
Response_102,HGQ-HT6-003,,,,,,,,,,rater1
Response_103,HGQ-HT6-005,,,,,,,,,,rater1
Response_104,HGQ-HT3-012,,,,,,,,,,rater1
Response_105,HGQ-HT2-008,,,,,,,,,,rater1
Response_106,HGQ-HT2-002,,,,,,,,,,rater1
Response_107,HGQ-HT4-010,,,,,,,,,,rater1
Response_108,HGQ-HT1-008,,,,,,,,,,rater1
Response_109,HGQ-HT2-009,,,,,,,,,,rater1
Response_110,HGQ-HT4-006,,,,,,,,,,rater1
Response_111,HGQ-HT4-001,,,,,,,,,,rater1
Response_112,HGQ-HT2-006,,,,,,,,,,rater1
Response_113,HGQ-HT6-005,,,,,,,,,,rater1
Response_114,HGQ-HT3-010,,,,,,,,,,rater1
Response_115,HGQ-HT2-001,,,,,,,,,,rater1
Response_116,HGQ-HT4-011,,,,,,,,,,rater1
Response_117,HGQ-HT4-012,,,,,,,,,,rater1
Response_118,HGQ-HT4-008,,,,,,,,,,rater1
Response_119,HGQ-UTIL-001,,,,,,,,,,rater1
Response_120,HGQ-HT1-010,,,,,,,,,,rater1
Response_121,HGQ-HT4-010,,,,,,,,,,rater1
Response_122,HGQ-HT4-009,,,,,,,,,,rater1
Response_123,HGQ-HT1-002,,,,,,,,,,rater1
Response_124,HGQ-HT5-002,,,,,,,,,,rater1
Response_125,HGQ-HT4-006,,,,,,,,,,rater1
Response_126,HGQ-HT7-008,,,,,,,,,,rater1
Response_127,HGQ-HT6-006,,,,,,,,,,rater1
Response_128,HGQ-HT1-009,,,,,,,,,,rater1
Response_129,HGQ-HT4-003,,,,,,,,,,rater1
Response_130,HGQ-HT7-006,,,,,,,,,,rater1
Response_131,HGQ-HT2-004,,,,,,,,,,rater1
Response_132,HGQ-HT5-006,,,,,,,,,,rater1
Response_133,HGQ-HT7-005,,,,,,,,,,rater1
Response_134,HGQ-HT7-007,,,,,,,,,,rater1
Response_135,HGQ-HT1-006,,,,,,,,,,rater1
Response_136,HGQ-HT5-002,,,,,,,,,,rater1
Response_137,HGQ-HT3-003,,,,,,,,,,rater1
Response_138,HGQ-HT5-005,,,,,,,,,,rater1
Response_139,HGQ-HT7-012,,,,,,,,,,rater1
Response_140,HGQ-HT5-001,,,,,,,,,,rater1
Response_141,HGQ-HT5-006,,,,,,,,,,rater1
Response_142,HGQ-HT3-004,,,,,,,,,,rater1
Response_143,HGQ-HT7-007,,,,,,,,,,rater1
Response_144,HGQ-HT4-004,,,,,,,,,,rater1
Response_145,HGQ-HT2-009,,,,,,,,,,rater1
Response_146,HGQ-HT5-004,,,,,,,,,,rater1
Response_147,HGQ-HT6-002,,,,,,,,,,rater1
Response_148,HGQ-HT6-007,,,,,,,,,,rater1
Response_149,HGQ-HT5-008,,,,,,,,,,rater1
Response_150,HGQ-HT4-009,,,,,,,,,,rater1
Response_151,HGQ-HT5-012,,,,,,,,,,rater1
Response_152,HGQ-HT7-011,,,,,,,,,,rater1
Response_153,HGQ-HT1-007,,,,,,,,,,rater1
Response_154,HGQ-HT1-008,,,,,,,,,,rater1
Response_155,HGQ-HT3-010,,,,,,,,,,rater1
Response_156,HGQ-HT6-012,,,,,,,,,,rater1
Response_157,HGQ-HT1-010,,,,,,,,,,rater1
Response_158,HGQ-HT7-008,,,,,,,,,,rater1
Response_159,HGQ-HT3-012,,,,,,,,,,rater1
Response_160,HGQ-HT6-002,,,,,,,,,,rater1
Response_161,HGQ-HT2-005,,,,,,,,,,rater1
Response_162,HGQ-HT1-003,,,,,,,,,,rater1
Response_163,HGQ-HT4-002,,,,,,,,,,rater1
Response_164,HGQ-HT7-004,,,,,,,,,,rater1
Response_165,HGQ-HT4-005,,,,,,,,,,rater1
Response_166,HGQ-HT7-005,,,,,,,,,,rater1
Response_167,HGQ-HT7-010,,,,,,,,,,rater1
Response_168,HGQ-HT1-001,,,,,,,,,,rater1
Response_169,HGQ-HT3-005,,,,,,,,,,rater1
Response_170,HGQ-HT1-009,,,,,,,,,,rater1
Response_171,HGQ-HT6-011,,,,,,,,,,rater1
Response_172,HGQ-HT2-001,,,,,,,,,,rater1
